,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_loss,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
167,0.19365358352661133,0.005276696996077143,0.00037479400634765625,9.630458047948413e-06,0.11448864476033732,friedman_mse,squared_error,41,4,2,791,"{'ccp_alpha': 0.11448864476033732, 'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 41, 'max_features': 4, 'min_samples_split': 2, 'n_estimators': 791}",-1.2028576319592208,-1.2845405567805035,-1.0892119254875896,-1.2596422306831796,-0.9770758635997522,-1.162665641702049,0.11464062454331128,141,-0.9931672474435852,-0.9743549158672593,-0.9686810118571765,-0.9494691463314389,-1.0455141036143718,-0.9862372850227665,0.03275080166509917
168,0.0004549503326416016,6.263469802032677e-06,0.0,0.0,0.02653699488183039,squared_error,absolute_error,22,8,6,667,"{'ccp_alpha': 0.02653699488183039, 'criterion': 'squared_error', 'loss': 'absolute_error', 'max_depth': 22, 'max_features': 8, 'min_samples_split': 6, 'n_estimators': 667}",,,,,,,,435,,,,,,,
169,0.17222213745117188,0.0015301484857983044,0.0002984046936035156,7.134414550944031e-06,0.00848714125513176,squared_error,huber,13,auto,2,179,"{'ccp_alpha': 0.00848714125513176, 'criterion': 'squared_error', 'loss': 'huber', 'max_depth': 13, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 179}",-1.099606761804239,-1.4051861516065987,-1.278457107791596,-1.5509689659477406,-1.3439538624651255,-1.33563456992306,0.14849506633930054,371,-0.37456991370015474,-0.3591136654026259,-0.3577841882373697,-0.37669804488515235,-0.37938596299010324,-0.36951035504308116,0.009169337978597873
170,0.6016533851623536,0.006383995169923608,0.0003905773162841797,7.687880930055676e-06,0.07085360790746335,squared_error,huber,28,7,8,833,"{'ccp_alpha': 0.07085360790746335, 'criterion': 'squared_error', 'loss': 'huber', 'max_depth': 28, 'max_features': 7, 'min_samples_split': 8, 'n_estimators': 833}",-1.196398995268364,-1.3052565018962214,-1.0362144707010532,-1.2863153009080153,-1.022411220390821,-1.169319297832895,0.12016586571970296,191,-0.9344557175792593,-0.8632216140909517,-0.9683244391670509,-0.8692412562737851,-0.8953171875518929,-0.9061120429325878,0.03997328816962327
171,0.0003771781921386719,4.808731931869014e-06,0.0,0.0,0.27585612992236486,squared_error,squared_error,34,10,7,964,"{'ccp_alpha': 0.27585612992236486, 'criterion': 'squared_error', 'loss': 'squared_error', 'max_depth': 34, 'max_features': 10, 'min_samples_split': 7, 'n_estimators': 964}",,,,,,,,410,,,,,,,
172,0.019196033477783203,0.0001733668038354587,0.0002655506134033203,3.24249267578125e-06,0.03830680685897829,friedman_mse,squared_error,53,3,5,94,"{'ccp_alpha': 0.03830680685897829, 'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 53, 'max_features': 3, 'min_samples_split': 5, 'n_estimators': 94}",-1.0862219749191324,-1.3394240868142824,-1.10782836056493,-1.2194519527669607,-1.0069818974757707,-1.1519816545082153,0.11574600203990423,91,-0.6794421396802317,-0.6796812138372524,-0.631778264077541,-0.6749194484234908,-0.715800679398244,-0.6763243490833519,0.02670467093795184
173,0.2545640468597412,0.004338813621403768,0.0003475189208984375,8.887098508622547e-06,0.21259305890459654,squared_error,absolute_error,39,log2,6,590,"{'ccp_alpha': 0.21259305890459654, 'criterion': 'squared_error', 'loss': 'absolute_error', 'max_depth': 39, 'max_features': 'log2', 'min_samples_split': 6, 'n_estimators': 590}",-1.2539626903607535,-1.221681058703438,-1.011993842626455,-1.2886088543732925,-1.1360698739132118,-1.18246326399543,0.09912543570062,217,-1.1196517532117614,-1.1285386583434693,-1.1805349773830467,-1.1124453385818207,-1.2194745759926189,-1.1521290607025434,0.04129986663129564
174,0.3749107360839844,0.011007404339993001,0.0003772258758544922,5.893136277670767e-06,0.11260528022887971,squared_error,absolute_error,26,7,4,802,"{'ccp_alpha': 0.11260528022887971, 'criterion': 'squared_error', 'loss': 'absolute_error', 'max_depth': 26, 'max_features': 7, 'min_samples_split': 4, 'n_estimators': 802}",-1.2557239729582397,-1.312369732636428,-1.0785566731597458,-1.1865287258301493,-1.1360698739132118,-1.1938497956995548,0.08313845174599732,261,-0.9506504083271471,-0.9263788297578539,-0.8995602954552514,-0.9231209978676324,-1.2194745759926189,-0.9838370214801007,0.11892590488028382
175,0.06734614372253418,0.003944441449345308,0.0002923011779785156,2.880822652243274e-06,0.12780863000823192,squared_error,squared_error,48,auto,8,286,"{'ccp_alpha': 0.12780863000823192, 'criterion': 'squared_error', 'loss': 'squared_error', 'max_depth': 48, 'max_features': 'auto', 'min_samples_split': 8, 'n_estimators': 286}",-1.2053741426886766,-1.2845405567805035,-1.037052435186484,-1.3081652832898734,-0.949648027932291,-1.1569560891755657,0.14059860821580777,118,-1.023923923525178,-0.9743549158672593,-1.0574981641485033,-1.0045197108302892,-1.1013682336796362,-1.0323329896101732,0.04382898318949018
176,0.47916507720947266,0.002513572843649986,0.00036258697509765624,6.0773826470774915e-06,0.0766725384641501,friedman_mse,huber,50,4,8,711,"{'ccp_alpha': 0.0766725384641501, 'criterion': 'friedman_mse', 'loss': 'huber', 'max_depth': 50, 'max_features': 4, 'min_samples_split': 8, 'n_estimators': 711}",-1.2017047851226128,-1.287059346626131,-1.0738695355899095,-1.269968087258941,-0.9912799720475666,-1.1647763453290323,0.11467099392682495,151,-0.9475815426974744,-0.8679777870721569,-0.8881268249945132,-0.8933494198912675,-0.9186726499997004,-0.9031416449310224,0.02747342723582008
177,0.5709995269775391,0.00625237837124207,0.00039215087890625,5.596288953900681e-06,0.008226257158311627,friedman_mse,huber,54,1,3,811,"{'ccp_alpha': 0.008226257158311627, 'criterion': 'friedman_mse', 'loss': 'huber', 'max_depth': 54, 'max_features': 1, 'min_samples_split': 3, 'n_estimators': 811}",-1.125879445182261,-1.3609288091392258,-1.1514580792804159,-1.1876736652079016,-0.8910085758739338,-1.1433897149367476,0.15056711006242574,68,-0.38582670195190816,-0.3681926689142686,-0.3536231057569925,-0.37556517577995324,-0.3999364558347878,-0.37662882164758205,0.015680623664939813
178,0.16574482917785643,0.002521913582767981,0.00038208961486816404,5.756907757868412e-06,0.00783497996249561,squared_error,squared_error,20,2,3,821,"{'ccp_alpha': 0.00783497996249561, 'criterion': 'squared_error', 'loss': 'squared_error', 'max_depth': 20, 'max_features': 2, 'min_samples_split': 3, 'n_estimators': 821}",-1.1408207486883566,-1.4510981436966857,-1.2473619798707947,-1.362794478589355,-1.1098934809573238,-1.262393766360503,0.12957772595699657,354,-0.32594502646254253,-0.32047823550422955,-0.31471860835865995,-0.3212573107088903,-0.3278433642006841,-0.3220485090470013,0.004595266959211095
179,0.00045490264892578125,6.905089408577253e-06,0.0,0.0,0.03341954195419736,squared_error,absolute_error,48,9,8,253,"{'ccp_alpha': 0.03341954195419736, 'criterion': 'squared_error', 'loss': 'absolute_error', 'max_depth': 48, 'max_features': 9, 'min_samples_split': 8, 'n_estimators': 253}",,,,,,,,436,,,,,,,
180,0.11403570175170899,0.0033575695848281307,0.0003437042236328125,8.685245567342737e-06,0.00026806607961855385,friedman_mse,squared_error,19,5,2,451,"{'ccp_alpha': 0.00026806607961855385, 'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 19, 'max_features': 5, 'min_samples_split': 2, 'n_estimators': 451}",-1.0127481464477406,-1.439456723618509,-1.3599719859618349,-1.511640391383711,-1.1618914483989267,-1.2971417391621443,0.18405609104136436,365,-0.062002248189697094,-0.06390852266761184,-0.06203756436791477,-0.058838870936407016,-0.06454692157712669,-0.06226682554775148,0.0019883381010755343
