,NMF1,NMF2,NMF3,NMF4,NMF5,Class
C26 H22 O16,0.6635085811873811,0.8080787413264234,0.5406064987325234,0.1464223008734254,1.569924118536804e-06,lignin
C25 H22 O15,0.6710234256802539,0.8957695085985454,0.5206616809726431,0.1102489679094888,0.0158377256046097,lignin
C24 H22 O15,0.6225470281408925,0.844209967873143,0.5109504196656611,0.1104230188071006,0.1890343093323053,lignin
C23 H20 O12,0.6109126847164666,0.7838269487711911,0.5247110592616469,0.1392155249107761,0.1684628528669051,lignin
C25 H24 O14,0.636976645653061,0.7356689571271302,0.5376916368185782,3.5873342110026204e-06,0.1486237790672723,lignin
C25 H24 O15,0.5946749379916125,0.723129103821997,0.5392515620331679,3.5873342110026204e-06,0.2174203546524669,lignin
C25 H26 O15,0.4638715795951053,0.713718389685473,0.5478387274134793,3.5873342110026204e-06,0.2179998972094504,lignin
C25 H26 O14,0.4097721481677106,0.7331162087352404,0.5412619528906643,3.5873342110026204e-06,0.2922752680776058,lignin
C23 H20 O14,0.5122994865103392,0.72545234023492,0.4585988824188422,0.0818905988041283,0.3977342794979751,lignin
C19 H16 O10,0.5215409078025922,0.8054431693957464,0.3475864650625433,3.5873342110026204e-06,0.3143462203973909,lignin
C24 H24 O15,0.5878718236512218,0.7145003531447881,0.5196100111395389,0.2275649709617912,0.2330563899811511,lignin
C24 H20 O15,0.5572977337345766,0.8061799855914356,0.4500698647314435,0.2899086725697555,0.199852295731803,lignin
C22 H18 O12,0.5773526643944868,0.7862672306700625,0.5062216440508467,0.4000057622342811,0.2090587231938985,lignin
C24 H22 O13,0.5966546378526829,0.7774766085761163,0.5029601232508363,0.3930585966118239,0.2415169223182174,lignin
C23 H20 O13,0.5700023774432036,0.7837485435589154,0.4970512915151459,0.387902016525309,0.2801925118043222,lignin
C24 H22 O14,0.5681230151029258,0.7863262755788972,0.4961607409050167,0.3909544517065905,0.2796712037068307,lignin
C17 H14 O9,0.5416280486601409,0.7670622916558217,0.501740771698635,0.3931161746978434,0.2682535074509876,lignin
C26 H24 O15,0.7475608665034083,0.7618474613741864,0.5295965791020214,0.4254020795912372,1.569924118536804e-06,lignin
C24 H20 O14,0.7043968472678589,0.8570581400355651,0.5050652526887143,0.396456367538847,0.09800704683046,lignin
C25 H20 O15,0.6412227812558892,0.8296274017219584,0.520738521836328,0.4240265342479855,1.569924118536804e-06,lignin
C25 H20 O14,0.6371637954172553,0.8051309945444111,0.5231398385991863,0.4931697608212502,1.569924118536804e-06,lignin
C24 H20 O13,0.6336582438920098,0.8066076795977427,0.5208247490581028,0.4958253896080273,1.569924118536804e-06,lignin
C23 H24 O14,0.225010371884014,0.7812792613714871,0.5295734313884269,3.5873342110026204e-06,0.4503047511207783,lignin
C23 H24 O12,0.3042288983881977,0.7630248248896704,0.5327146795322348,3.5873342110026204e-06,0.5145280874070663,lignin
C23 H22 O14,0.304357989646851,0.7621392315903598,0.502080868088578,0.1534904977570215,0.5027164283041816,lignin
C22 H22 O11,0.3056230539254813,0.7766899054574526,0.5031596629056537,0.1856970502228727,0.5037330887793275,lignin
C22 H20 O13,0.290569269908532,0.7886633293038195,0.498994426730566,0.186834648925476,0.5321990290496121,lignin
C21 H20 O11,0.2792873851941894,0.771616943623439,0.5027226404366215,0.165000250936009,0.5980947764261304,lignin
C24 H28 O11,0.3106196420490254,0.5281629755163658,0.5310536918773638,0.260871061289372,0.6510347852363275,lignin
C22 H28 O13,0.3040117425456435,0.6270987050929326,0.5218881120661156,0.2006211927541718,0.617858397980527,lignin
C24 H28 O14,0.2203333560090453,0.6137856044816934,0.5323075263637345,0.2422065560063945,0.5394131706696237,lignin
C25 H30 O13,0.2365098382366805,0.5797031961049319,0.5321521344101023,0.2520601315258741,0.5178619595182206,lignin
C23 H28 O14,0.2487904895459123,0.6165738095100382,0.5360848991316505,0.2394260788101933,0.4630713152574358,lignin
C24 H30 O13,0.3425781192470608,0.5997405478339275,0.5323117024976304,0.2382530968026149,0.5019524674082432,lignin
C22 H24 O14,0.2164888460042974,0.6737104029578045,0.500594522375964,0.2406024685907336,0.293415199787517,lignin
C24 H26 O15,0.2953520835088697,0.7501847663813874,0.5251287919693503,0.1940670938273193,0.3106538349059894,lignin
C23 H24 O11,0.3652509675332228,0.6882266540447128,0.5235298895050653,0.2097579410182656,0.3957910293197876,lignin
C24 H26 O14,0.3483172951929861,0.7116330199052839,0.5172140636916897,0.2069679043550542,0.4217286465168677,lignin
C23 H22 O13,0.3350493988214574,0.7617211775691685,0.5071795696211634,0.1511304600820998,0.4237501325437682,lignin
C25 H26 O13,0.4385505070426119,0.6742506036237347,0.5387841134457512,0.2131083571781551,0.2714838331996957,lignin
C26 H28 O14,0.4485997881440624,0.6073778260419699,0.5485691531182277,0.2342585672961251,0.2758528555494877,lignin
C24 H28 O15,0.4661853538077313,0.5719970321699157,0.5498009535267093,0.2482483383123699,0.2613167307178128,lignin
C22 H20 O11,0.5593481657870394,0.6855933314438962,0.5075005353405928,0.4031333011911007,0.3111715482837591,lignin
C25 H24 O13,0.5970619490766294,0.6339367080350561,0.5211772943043261,0.4304319082262842,0.2593981827161746,lignin
C26 H28 O15,0.4969977390745564,0.6024125508750214,0.5387983123009973,0.4640121029933435,0.2092640646450798,lignin
C25 H28 O15,0.4913214807153088,0.6018903850145789,0.5295237950541211,0.4623210509819652,0.2159404730636406,lignin
C23 H22 O11,0.60389506949538,0.5523437535145779,0.533221781505311,0.4922437759682257,0.2611112602254107,lignin
C26 H30 O14,0.5924799357519268,0.4989083520188378,0.5448313541905634,0.4686039221608006,0.3115601835718285,lignin
C25 H32 O13,0.5804787066548672,0.4419651206058538,0.5346266727206025,0.4857584742240921,0.3606699171289906,lignin
C24 H32 O12,0.4148075087531087,0.5075623674903713,0.541229021091942,0.4910388405570301,0.3789683309248097,lignin
C23 H30 O13,0.4168217732119558,0.5084881273943314,0.5371148530684959,0.4943825296845792,0.3799009302618475,lignin
C24 H30 O14,0.4766951956511524,0.4412099081052352,0.5391567041346749,0.4983910885940423,0.3731445162864031,lignin
C25 H32 O12,0.5136826715448501,0.4685140412809869,0.5264085980312829,0.4710237950181192,0.5007372309287768,lignin
C25 H30 O12,0.4026895615215276,0.4636744875865912,0.5257342518388511,0.4744836139671248,0.553282557947988,lignin
C25 H30 O14,0.2774281604891381,0.5259509604317171,0.5259313255860348,0.4859324476723184,0.4375074751735752,lignin
C24 H24 O12,0.3827147055131334,0.6269280773563819,0.5188241820584378,0.4478450969803502,0.3858566618968115,lignin
